dim;n_points;epsilon;pgm;edges_greedy;edges_blind_greedy;edges_wspd;edges_quasi_sorted_greedy;edges_quasi_sorted_shaker;edges_blind_random;edges_blind_random_connect_first;edges_blind_random_lower_bound_first;edges_blind_random_connect_first_lower_bound_first
2;100;0.1;normal;401;1057;4810.2;4940;4923;2092;2032;1845;1917
2;150;0.1;normal;610;1656;10860.4;11172;11175;3770;3651;3523;3636
2;200;0.1;normal;826;2236;18871.6;19897;19434;5790;5783;5020;5125
2;250;0.1;normal;1043;2894;28980.8;31120;31024;8119;7873;6800;7028
2;300;0.1;normal;1254;3444;41870.4;44840;44204;10139;10477;8643;8790
2;350;0.1;normal;1481;4149;55353.8;61055;60095;12910;12554;10639;10872
2;400;0.1;normal;1707;4855;71882.8;79791;78525;15776;15824;12752;13246
2;450;0.1;normal;1944;5608;89943.4;101017;99769;18456;18342;15185;14954
2;500;0.1;normal;2169;6260;110413.4;124731;124701;21265;21482;17259;17377
2;550;0.1;normal;2401;6882;131545.4;150973;150568;24438;24352;19558;19886
2;600;0.1;normal;2610;7504;158468.6;179695;179256;28308;27754;21643;21593
2;650;0.1;normal;2823;8207;180921;210920;210439;30902;31560;24053;24182
2;700;0.1;normal;3050;8980;208895.2;244645;244144;34595;34006;26352;26504
2;750;0.1;normal;3289;9666;237420.8;280867;279389;37765;37978;28360;28523
2;100;0.5;normal;174;675;3753.4;3709;4487;1133;1211;984;994
2;150;0.5;normal;273;1062;7976;7486;11175;2086;2079;1692;1765
2;200;0.5;normal;364;1416;12018.4;13953;18104;3073;3117;2363;2567
2;250;0.5;normal;469;;17923;14070;30585;4235;4309;3282;3133
2;300;0.5;normal;565;;24713.2;24071;43664;5579;5351;4166;4095
2;350;0.5;normal;644;;31502;49768;59435;6451;6717;4541;4860
2;400;0.5;normal;743;;39315.4;71833;68108;8080;7877;5399;5493
2;450;0.5;normal;839;;45863.4;71394;93816;9246;9490;6339;6448
2;500;0.5;normal;941;;52470.2;118538;105673;10759;10907;7159;7189
2;550;0.5;normal;1042;;63816.4;109918;133644;12507;12338;7989;8257
2;600;0.5;normal;1145;;71305.2;145212;176355;14138;13955;9149;8783
2;650;0.5;normal;1240;;80527.2;134669;186816;15251;15886;9653;9832
2;700;0.5;normal;1334;;88919.4;177371;161923;16765;17374;10848;10515
2;750;0.5;normal;1435;;98751;182952;215841;18564;18739;10737;11697
3;100;0.1;normal;1040;2825;4949.4;4950;4947;3724;3664;3650;3636
3;150;0.1;normal;1772;5133;11175;11175;11175;7274;7368;7133;7170
3;200;0.1;normal;2549;7853;19830.2;19885;19890;11917;11738;11469;11476
3;250;0.1;normal;3366;10697;30993.6;31123;31119;17140;17123;16587;16727
3;300;0.1;normal;4264;13679;44735;44850;44848;22847;22905;22018;22057
3;350;0.1;normal;5123;16663;60922.6;61063;61072;29236;29090;27706;28148
3;400;0.1;normal;5968;19727;79349.4;79796;79791;35806;36480;34446;34092
3;450;0.1;normal;6803;23097;100707.6;101007;101008;43015;43081;41346;41110
3;500;0.1;normal;7661;26170;124262.4;124703;124567;50640;51089;47940;47817
3;550;0.1;normal;8550;29662;150157;150964;150856;58400;58819;55076;54740
3;600;0.1;normal;9429;33111;179284.8;179699;179645;68035;67469;63263;62690
3;650;0.1;normal;10350;36705;210119;210920;210762;77008;76195;71028;71716
3;700;0.1;normal;11283;39847;242876.6;244596;244439;86033;85343;80268;79965
2;100;0.1;unif;378;1025;4736.2;4894;4757;2104;2100;1977;1970
2;150;0.1;unif;570;1663;10604.2;11072;10891;3804;3772;3329;3431
2;200;0.1;unif;789;2312;18765.2;19345;19460;5867;5982;5240;4888
2;250;0.1;unif;991;2860;28499.4;29736;29006;7930;8042;6719;6811
2;300;0.1;unif;1220;3466.5;40409.8;40270;41056;10607;10518;8846;8485
2;350;0.1;unif;1430;4203;54449.4;52679;55948;12976;12766;10219;10724
2;400;0.1;unif;1650;4791;71672;79021;64961;15354;15962;12274;12819
2;450;0.1;unif;1879;5459;87724.8;92498;74303;18853;18679;14385;14479
2;500;0.1;unif;2087;6130;106186.4;120395;103942;21240;21611;16678;16741
2;550;0.1;unif;2296;6998;128252.4;138895;110150;24736;24457;18871;18173
2;600;0.1;unif;2523;7495;150193;156951;120837;26990;27460;20481;21201
2;650;0.1;unif;2731;8311;169548;206749;123048;31009;30793;22866;23491
2;700;0.1;unif;2960;8968;195884.2;212696;142674;34134;33742;25483;24689
2;750;0.1;unif;3175;9624;225598.6;232064;162504;38361;37494;27145;26682
2;100;0.5;unif;172;607;3566.4;2732;1834;1140;1191;1044;970
2;150;0.5;unif;261;1023;7013.8;2117;4474;2089;1998;1680;1629
2;200;0.5;unif;358;1477;11488;3051;6372;3018;3202;2383;2334
2;250;0.5;unif;450;;16201.6;3711;10306;4198;4263;3033;3070
2;300;0.5;unif;541;;21935.2;6797;12364;5228;5353;3732;3677
2;350;0.5;unif;631;;28169.8;6632;13384;6725;6691;4797;4592
2;400;0.5;unif;714;;34402.8;6969;14340;8040;7956;5271;5350
2;450;0.5;unif;812;;41704.2;8991;15986;9243;9370;6220;6009
2;500;0.5;unif;914;;47583;11230;22482;10835;10962;6840;6665
2;550;0.5;unif;1018;;54197;13605;25490;11847;12164;7509;7479
2;600;0.5;unif;1113;;61731.8;15885;31742;13838;13780;8242;8053
2;650;0.5;unif;1207;;69334.4;15192;35260;15504;15247;9148;9076
2;700;0.5;unif;1302;;77828.8;19949;40824;17211;16857;9851;10316
2;750;0.5;unif;1397;;85138.4;22119;41074;18393;18847;10725;10949
3;100;0.1;unif;1006;2982;4950;4943;4948;3917;3843;3735;3785
3;150;0.1;unif;1715;5508;11175;11173;11173;7809;7761;7757;7618
3;200;0.1;unif;2442;8166;19803.2;19897;19861;12480;12637;11952;12236
3;250;0.1;unif;3160;10835;31037;31113;31109;17775;17706;17412;17148
3;300;0.1;unif;4009;13915;44703.2;44847;44849;23825;23749;22871;22976
3;350;0.1;unif;4833;17076;60669.4;61073;61072;30514;30660;28725;28976
3;400;0.1;unif;5564;20142;79388.8;79795;79750;37733;37860;35058;35688
3;450;0.1;unif;6476;23269;100474.4;101020;101014;45318;45549;42489;42936
3;500;0.1;unif;7262;26419;123996.2;124729;124604;53377;53841;50133;50044
3;550;0.1;unif;8075;29665;149844.2;150973;150961;61560;61997;57132;57119
3;600;0.1;unif;8799;32648;178248;179594;179659;70851;71018;64304;65152
3;650;0.1;unif;9625;35964;209001;210540;210851;79576;80260;73826;73167
3;700;0.1;unif;10511;39240;242475.2;244602;244593;89051;88760;81659;81518
